Drug_Name,Reason,Description
Acnoff Anti Acne Bar 100gm,Acne,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple"
Acnorm Lotion 180ml,Acne,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple"
Acnovate Gel 15gm,Acne,treat the most severe form of acne (nodular acne) 
Acnovate Trio Gel 15gm,Acne,treat the most severe form of acne (nodular acne) 
Acutret 10mg Capsule 10'SAcutret 30mg Capsule 10'SAcutret 20mg Capsule 10'SAcutret 5mg Capsule 10'S,Acne,treat the most severe form of acne (nodular acne) 
Aczit 10mg Softgel 10'S,Acne, treat acne vulgaris 
Adabor Gel 15gm,Acne, treat acne vulgaris 
Adacin Gel 15gm,Acne, treat mild to moderate acne(spots)
Adaclene Gel 15gm,Acne,treatment of dry scaly skin disorders of the scalp
Adaferin Gel 15gm,Acne,combined with anti-acne actives of both natural and synthetic origin
Adalene Nano Gel 15mg,Acne," gives smooth, soft, supple and fresh feeling to the skin"
Adapen Gel 15gm,Acne,"It helps to reduce swelling. It can help reduce tenderness and pain when applied on a red, swollen pimple."
Adaple Gel 15gmAdaple C Gel 15gm,Acne,treatment of dry scaly skin disorders of the scalp
Adapnil Gel 15gm,Acne,Mild to moderate acne (spots)
Adiff Aqueous Gel 15gm,Acne,A RET 0.025% is a prescription medicine that is used to reduce fine wrinkles
Adistar Gel 15gm,Acne,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple"
Adistarc Gel 10gm,Acne,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple"
Adit 0.05% Cream 20gmAdit 0.025% Cream 20gm,Acne,treat the most severe form of acne (nodular acne) 
Adlene Gel 15gm,Acne,treat the most severe form of acne (nodular acne) 
Admark Gel 15gm,Acne,treat the most severe form of acne (nodular acne) 
Ahaglow Acne Control Moisturizing Gel 50gm,Acne, treat acne vulgaris 
Airet 0.50% Cream 15gmAiret 0.10% Cream 15gm,Acne, treat acne vulgaris 
Airol Cream 20gmAirol 0.03% Cream 20gmAirol 0.05% Cream 20gm,Acne, treat mild to moderate acne(spots)
Aknaybar Bathing Bar 100gm,Acne,treatment of dry scaly skin disorders of the scalp
Akneroxid 10% Gel 20gm,Acne,combined with anti-acne actives of both natural and synthetic origin
ALAN Gel 15gm,Acne,treatment of dry scaly skin disorders of the scalp
Alene Gel 15gm,Acne,Mild to moderate acne (spots)
Alesa 2.5% Gel 1gmAlesa 5% Gel 1gm,Acne,A RET 0.025% is a prescription medicine that is used to reduce fine wrinkles
Alight Gel 15gm,Acne,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple"
Alight Plus Gel 15gm,Acne,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple"
Alite Cream 15gmAlite Soap 75gm,Acne,treat the most severe form of acne (nodular acne) 
Alite Plus Gel 15gm,Acne,treat the most severe form of acne (nodular acne) 
Allyte 1% Gel 20gm,Acne,treat the most severe form of acne (nodular acne) 
Alonurish Anti Acne Foaming Face Wash 60ml,Acne, treat acne vulgaris 
Amypure Tablet 90'SAmypure Tablet 100'S,Acne, treat acne vulgaris 
AP Gel 10gm,Acne, treat mild to moderate acne(spots)
Apalene C Gel 15gm,Acne,treatment of dry scaly skin disorders of the scalp
Athoderm 1% Gel 15gm,Acne,combined with anti-acne actives of both natural and synthetic origin
Atranza 10mg Capsule 100'S,Acne,treatment of dry scaly skin disorders of the scalp
Atret 0.5% Cream 30gmATRET 0.025% Cream 30gm,Acne,Mild to moderate acne (spots)
Azac Cream 15gmAzac Soap 75gm,Acne,A RET 0.025% is a prescription medicine that is used to reduce fine wrinkles
Azecne 20% Cream 15gmAzecne 10% Cream 15gm,Acne,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple"
Aziderm 10% Cream 15gmAziderm 20% Gel 15gmAziderm 10% Gel 15gmAziderm 20% Cream 15gmAziderm 15% Gel 15gm,Acne,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple"
Azobril 15% Cream 20gm,Acne,treat the most severe form of acne (nodular acne) 
Baclytic Gel 15gm,Acne,treat the most severe form of acne (nodular acne) 
Bdiff A Gel 15gm,Acne,treat the most severe form of acne (nodular acne) 
Bende Gel(Topical) 20gmBende Gel(Topical) 30gm,Acne, treat acne vulgaris 
Bengel 5% Gel 30gmBengel AC 5% Gel 30gmBengel 2.5% Gel 30gm,Acne, treat acne vulgaris 
Bengel AC 2.5% Gel 30gm,Acne, treat mild to moderate acne(spots)
Bengel Acra 2.5% Gel 30gm,Acne,treatment of dry scaly skin disorders of the scalp
Benzac AC 2.5% Gel 20gm,Acne,combined with anti-acne actives of both natural and synthetic origin
Benzac AC 5% Gel 20gm,Acne," gives smooth, soft, supple and fresh feeling to the skin"
Benzer 5% Gel 20gmBenzer 2.5% Gel 20gm,Acne,"It helps to reduce swelling. It can help reduce tenderness and pain when applied on a red, swollen pimple."
Benzonext 5% Gel 20gmBenzonext Gel 20gm,Acne,treatment of dry scaly skin disorders of the scalp
Benzonix 1.25% Soap 75gmBenzonix 2.5% Soap 75gmBenzonix Gel 20gm,Acne,Mild to moderate acne (spots)
Benzox AC 5% Gel 20gm,Acne,A RET 0.025% is a prescription medicine that is used to reduce fine wrinkles
Blokage Gel 15gm,Acne,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple"
Botanica 3D Serum 30ml,Acne,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple"
Brevoxyl Cream 20gm,Acne,treat the most severe form of acne (nodular acne) 
Brevoxyl Creamy Wash Lotion 50gm,Acne,treat the most severe form of acne (nodular acne) 
Brite Opti Cream 10gm,Acne,treat the most severe form of acne (nodular acne) 
Calosoft Plus Cream 30gm,Acne, treat acne vulgaris 
Camyda 300mg Capsule 10'SCamyda 1% Gel 10gm,Acne, treat acne vulgaris 
Canvaz Gel(Topical) 15gm,Acne, treat mild to moderate acne(spots)
Cdiff A Gel 15gm,Acne,treatment of dry scaly skin disorders of the scalp
Cinason N Gel 20gm,Acne,combined with anti-acne actives of both natural and synthetic origin
Cleargel Gel 20gm,Acne,treatment of dry scaly skin disorders of the scalp
Cleargel AP Gel 15gm,Acne,combined with anti-acne actives of both natural and synthetic origin
Clearliv Capsule 60'S,Acne," gives smooth, soft, supple and fresh feeling to the skin"
CLENCHIN Gel(Topical) 20gm,Acne,"It helps to reduce swelling. It can help reduce tenderness and pain when applied on a red, swollen pimple."
CLENCHIN Z Cream 10gm,Acne,Mild to moderate acne (spots)
Cliac Gel 15gm,Acne,A RET 0.025% is a prescription medicine that is used to reduce fine wrinkles
Click Gel 20gm,Acne,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple"
Clid 1% Gel 20gmClid Gel 30gm,Acne,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple"
Cliface Gel 20gm,Acne,treat the most severe form of acne (nodular acne) 
Cliface A Gel 15gm,Acne,treat the most severe form of acne (nodular acne) 
Cligel N Gel 20gmCligel Gel 15gm,Acne,treat the most severe form of acne (nodular acne) 
Cligel A Gel 15gm,Acne, treat acne vulgaris 
Cligel T Gel 15gm,Acne, treat acne vulgaris 
Climple 1% Gel 15gm,Acne, treat mild to moderate acne(spots)
Climple A Cream 15gm,Acne,treatment of dry scaly skin disorders of the scalp
Clin 1% Gel 10gmClin Tablet 10's,Acne,Mild to moderate acne (spots)
Clin 3 Gel 15gm,Acne,A RET 0.025% is a prescription medicine that is used to reduce fine wrinkles
Clin AD Gel 15gm,Acne,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple"
Clinadd Gel 15gm,Acne,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple"
Clinapil 1% Gel 10gm,Acne,treat the most severe form of acne (nodular acne) 
Clincent 1% Gel 20gm,Acne,treat the most severe form of acne (nodular acne) 
Clincent A Gel 15gm,Acne,treat the most severe form of acne (nodular acne) 
Clincin Gel 20gmCLINCIN Gel 10gm,Acne, treat acne vulgaris 
Clincin N GE Gel 20gm,Acne, treat acne vulgaris 
Clincitop Gel 20gmClincitop Gel(Topical) 15gm,Acne, treat mild to moderate acne(spots)
Clinda 1% Gel 10gm,Acne,treatment of dry scaly skin disorders of the scalp
Clindac A Foaming Facewash 50ml,Acne,combined with anti-acne actives of both natural and synthetic origin
Clindac A Solution 25mlCLINDAC A 1% Gel 20gmClindac A Gel 15gm,Acne," gives smooth, soft, supple and fresh feeling to the skin"
Clindakem A Gel 20gm,Acne,"It helps to reduce swelling. It can help reduce tenderness and pain when applied on a red, swollen pimple."
Clindap Gel 20gm,Acne,treatment of dry scaly skin disorders of the scalp
Clindapene Gel 15gm,Acne,Mild to moderate acne (spots)
Clindasure 300mg Capsule 10'SClindasure 150mg Capsule 10'S,Acne,A RET 0.025% is a prescription medicine that is used to reduce fine wrinkles
Clindoxyl Gel 15gmClindoxyl Gel 10gm,Acne,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple"
Clinet Gel 20gm,Acne,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple"
Clingard Gel 15gm,Acne,treat the most severe form of acne (nodular acne) 
Clinka Gel 20gm,Acne,treat the most severe form of acne (nodular acne) 
Clinka N Gel 10gm,Acne,treat the most severe form of acne (nodular acne) 
CLINKRICK Gel 10gm,Acne, treat acne vulgaris 
Clinlup 1% Gel 10gm,Acne, treat acne vulgaris 
Clinmax A Gel 30gmClinmax Gel 20gm,Acne, treat mild to moderate acne(spots)
Clinmiface A Gel 15gm,Acne,treatment of dry scaly skin disorders of the scalp
Clinopak 300Mg Tablet 10'sClinopak Gel 20gmClinopak 150Mg Tablet 10's,Acne,combined with anti-acne actives of both natural and synthetic origin
Clinoxid 15% Gel 15gmClinoxid 1% Gel 15gmClinoxid 1/2.5 Cream 15gm,Acne,treatment of dry scaly skin disorders of the scalp
Clinxa Gel 20gm,Acne,Mild to moderate acne (spots)
Clinxa A Gel 20gm,Acne,A RET 0.025% is a prescription medicine that is used to reduce fine wrinkles
Comedolytic Cream 20gm,Acne,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple"
Cortina H Cream 15gm,Acne,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple"
Cosmoderm Kit 1'S,Acne,treat the most severe form of acne (nodular acne) 
Cospeel Shampoo 50ml,Acne,treat the most severe form of acne (nodular acne) 
Crixan Gel 15gm,Acne,treat the most severe form of acne (nodular acne) 
D Acne Soap 75gmD Acne Gel 10gm,Acne, treat acne vulgaris 
D Acne I 20mg Capsule 10'SD Acne I 10mg Capsule 10'S,Acne, treat acne vulgaris 
D Acne Plus Gel 15gm,Acne, treat mild to moderate acne(spots)
Dalcihit 300Mg Capsule 10's,Acne,treatment of dry scaly skin disorders of the scalp
Decdan Lite Cream 20gm,Acne,combined with anti-acne actives of both natural and synthetic origin
Decroma 6% Cream 30gm,Acne,treatment of dry scaly skin disorders of the scalp
Depiglare Cream 15gm,Acne,Mild to moderate acne (spots)
Deriva Aqueous Gel 15gm,Acne,A RET 0.025% is a prescription medicine that is used to reduce fine wrinkles
Deriva Bpo Gel 15gm,Acne,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple"
Deriva Cms Gel 15gm,Acne,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple"
Deriva MS Gel 15gm,Acne,treat the most severe form of acne (nodular acne) 
Derlin Gel 10gm,Acne,treat the most severe form of acne (nodular acne) 
DERMADEW B Bar 75gm,Acne,treat the most severe form of acne (nodular acne) 
Dersol BH Ointment 30gm,Acne, treat acne vulgaris 
Doxt SL 100mg/5B Tablet 8'S,Acne, treat acne vulgaris 
DS ACNE Face Wash 100gm,Acne, treat mild to moderate acne(spots)
EGA Night Cream 30gm,Acne,treatment of dry scaly skin disorders of the scalp
Elosone HT Cream 15gm,Acne,combined with anti-acne actives of both natural and synthetic origin
Emolene Cream 100gm,Acne," gives smooth, soft, supple and fresh feeling to the skin"
ENCLINA Gel(Topical) 20gm,Acne,"It helps to reduce swelling. It can help reduce tenderness and pain when applied on a red, swollen pimple."
ENCLINA ADP Gel(Topical) 20gm,Acne,treatment of dry scaly skin disorders of the scalp
Enshine Ointment 15gm,Acne,Mild to moderate acne (spots)
Entice Acne Bar 75gm,Acne,A RET 0.025% is a prescription medicine that is used to reduce fine wrinkles
Entice Natura Soap 75gm,Acne,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple"
Epiduo Gel 30gmEpiduo Gel 15gm,Acne,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple"
Erytop Lotion 25mlErytop Gel 20gm,Acne,treat the most severe form of acne (nodular acne) 
Erytop A Gel 15gm,Acne,treat the most severe form of acne (nodular acne) 
Ethitret 20mg Capsule 10'SEthitret 10mg Capsule 10'S,Acne,treat the most severe form of acne (nodular acne) 
Eudyna 0.05% Cream 20gm,Acne, treat acne vulgaris 
Eunozit 10mg Capsule 10'S,Acne, treat acne vulgaris 
Exazel 15% Cream 15gmExazel 10% Cream 15gmExazel Cream 10gmExazel 20% Cream 15gm,Acne, treat mild to moderate acne(spots)
Exazel N Cream 15gm,Acne,treatment of dry scaly skin disorders of the scalp
Excela Cream 50gm,Acne,combined with anti-acne actives of both natural and synthetic origin
EXCEX Gel 15gm,Acne,treatment of dry scaly skin disorders of the scalp
Exel Cream 16Gm,Acne,combined with anti-acne actives of both natural and synthetic origin
Ezanic 10% Gel 15gmEzanic 10% Cream 15gmEzanic 20% Gel 15gmEzanic 20% Cream 15gm,Acne," gives smooth, soft, supple and fresh feeling to the skin"
Fabeau Soap 1'S,Acne,"It helps to reduce swelling. It can help reduce tenderness and pain when applied on a red, swollen pimple."
Facebenz A Gel 15gm,Acne,Mild to moderate acne (spots)
Faceclin Gel 20gm,Acne,A RET 0.025% is a prescription medicine that is used to reduce fine wrinkles
Faceclin A Gel 15gm,Acne,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple"
Faceclin AT Gel 15gm,Acne,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple"
Femcinol A Gel 20gm,Acne,treat the most severe form of acne (nodular acne) 
Femcinol Adp Gel 15gm,Acne,treat the most severe form of acne (nodular acne) 
Femolink Cream 20gm,Acne,treat the most severe form of acne (nodular acne) 
Flexon Cream 15gm,Acne, treat acne vulgaris 
Foracne Plus Gel 15gm,Acne, treat acne vulgaris 
Ga 12 Cream 30gm,Acne, treat mild to moderate acne(spots)
Ga 6 Cream 30gm,Acne,treatment of dry scaly skin disorders of the scalp
Glintra Gel 15gmGlintra A Gel 15gmGlintra Soap 75gmGlintra Gel 30gm,Acne,Mild to moderate acne (spots)
Glocin Gel Gel(Topical) 20gmGLOCIN Gel 30gm,Acne,A RET 0.025% is a prescription medicine that is used to reduce fine wrinkles
Glotret 30mg Tablet 10'SGlotret 20mg Tablet 10'SGlotret 10mg Tablet 10'SGlotret 5mg Tablet 10'S,Acne,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple"
Glow Lite Cream 20gm,Acne,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple"
Glowcare Forte Cream 10gm,Acne,treat the most severe form of acne (nodular acne) 
Glowcor Cream 20gm,Acne,treat the most severe form of acne (nodular acne) 
Glyaha Lotion 50gm,Acne,treat the most severe form of acne (nodular acne) 
Glyaha Koj Lotion 30gm,Acne, treat acne vulgaris 
Glylak 70% Solution 100ml,Acne, treat acne vulgaris 
Hexilak Ultra C Gel 20gm,Acne, treat mild to moderate acne(spots)
Hostacycline 500mg Capsule 4'S,Acne,treatment of dry scaly skin disorders of the scalp
HQ Lite Cream 15gm,Acne,combined with anti-acne actives of both natural and synthetic origin
HTM Cream 15gm,Acne," gives smooth, soft, supple and fresh feeling to the skin"
I Deriva 20mg Capsule 10'SI Deriva 10mg Capsule 10'S,Acne,"It helps to reduce swelling. It can help reduce tenderness and pain when applied on a red, swollen pimple."
Ibitret 10mg Softgel 10'SIbitret 20mg Softgel 10'S,Acne,treatment of dry scaly skin disorders of the scalp
Iret 20mg Capsule 10'S,Acne,Mild to moderate acne (spots)
Isac 20mg Capsule 10'S,Acne,A RET 0.025% is a prescription medicine that is used to reduce fine wrinkles
Isac 10mg Capsule 10'S,Acne,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple"
Isina 20mg Capsule 10'S,Acne,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple"
ISININ 20mg Capsule 10's,Acne,treat the most severe form of acne (nodular acne) 
ISO Aret 20mg Softgel 10'S,Acne,treat the most severe form of acne (nodular acne) 
ISO CLIN 10mg Capsule 10's,Acne,treat the most severe form of acne (nodular acne) 
ISO T 20mg Capsule 10'S,Acne, treat acne vulgaris 
Isoace 20mg Capsule 10'SIsoace 10mg Capsule 10'S,Acne, treat acne vulgaris 
Isobest 20mg Capsule 10'SIsobest 10mg Capsule 10'S,Acne, treat mild to moderate acne(spots)
Isofeel 0.025 Cream 30gm,Acne,treatment of dry scaly skin disorders of the scalp
Isofeel 0.05 Cream 30gm,Acne,combined with anti-acne actives of both natural and synthetic origin
Isofeel 0.1 Gel 30gm,Acne,treatment of dry scaly skin disorders of the scalp
Isofeel 10 Capsule 10's,Acne,Mild to moderate acne (spots)
Isofeel 20 Capsule 10's,Acne,A RET 0.025% is a prescription medicine that is used to reduce fine wrinkles
Isofeel 30 Capsule 10's,Acne,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple"
Isofeel 40 Capsule 10's,Acne,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple"
Isoin 20mg Capsule 10'SIsoin 10mg Capsule 10'S,Acne,treat the most severe form of acne (nodular acne) 
Isokon 10mg Capsule 10'S,Acne,treat the most severe form of acne (nodular acne) 
Isopex 10mg Tablet 10'SIsopex 20mg Tablet 10'S,Acne,treat the most severe form of acne (nodular acne) 
Isopil 10mg Tablet 10'SIsopil 20mg Tablet 10'SIsopil 5mg Tablet 10'S,Acne, treat acne vulgaris 
ISOTACNE 20mg Capsule 10's,Acne, treat acne vulgaris 
Isotane 10mg Capsule 10'SIsotane 5Mg Capsule 10'sIsotane 20mg Capsule 10'S,Acne, treat mild to moderate acne(spots)
Isotret 20mg Capsule 10'S,Acne,treatment of dry scaly skin disorders of the scalp
Isotroin 30mg Capsule 10'SIsotroin 20mg Capsule 10'SIsotroin 10mg Capsule 10'SIsotroin 0.05% Gel 15gmIsotroin 5mg Capsule 10'S,Acne,combined with anti-acne actives of both natural and synthetic origin
Isozer 10mg Capsule 10'S,Acne,treatment of dry scaly skin disorders of the scalp
Kligmel Cream 15gm,Acne,Mild to moderate acne (spots)
Klincin A Gel 15gm,Acne,A RET 0.025% is a prescription medicine that is used to reduce fine wrinkles
Klinspec 1% Cream 15gm,Acne,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple"
Klynx Gel 10gm,Acne,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple"
Lacne 20mg Capsule 10'SLacne Soap 75gmLacne Gel 15gmLacne 10mg Capsule 10'S,Acne,treat the most severe form of acne (nodular acne) 
Lacne Foaming Face Wash Lotion 60ml,Acne,treat the most severe form of acne (nodular acne) 
LEE Neem Face Wash 70gm,Acne,treat the most severe form of acne (nodular acne) 
Litetone Cream 20gm,Acne, treat acne vulgaris 
Luminosa M Cream 20gm,Acne, treat acne vulgaris 
MAVTRON 20mg Capsule 10's,Acne, treat mild to moderate acne(spots)
Medapine AC Gel 15gmMedapine 1% Gel 15gm,Acne,treatment of dry scaly skin disorders of the scalp
Mederma Plus Intense Gel 10gm,Acne,combined with anti-acne actives of both natural and synthetic origin
Medsop Soap 100gmMedsop Soap 75gmMedsop Acne Soap 75gm,Acne," gives smooth, soft, supple and fresh feeling to the skin"
Melacare HC Cream 15gm,Acne,"It helps to reduce swelling. It can help reduce tenderness and pain when applied on a red, swollen pimple."
Melagard Tube 1'S,Acne,treatment of dry scaly skin disorders of the scalp
Melalite Plus Cream 15gm,Acne,Mild to moderate acne (spots)
Melalong AD Cream 15gm,Acne,A RET 0.025% is a prescription medicine that is used to reduce fine wrinkles
MELANORM MS Cream 15gm,Acne,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple"
Melasol Cream 15gm,Acne,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple"
Melnor Cream 20gm,Acne,treat the most severe form of acne (nodular acne) 
Metasone Plus Cream 15gm,Acne,treat the most severe form of acne (nodular acne) 
Microbenz 3.5% Aqueous Gel 15gm,Acne,treat the most severe form of acne (nodular acne) 
Mimosee Gel 20gm,Acne, treat acne vulgaris 
Minokem N 2% Lotion 60ml,Acne, treat acne vulgaris 
Minova 100mg Tablet 4'S,Acne, treat mild to moderate acne(spots)
Minoz Bpo Gel 15gm,Acne,treatment of dry scaly skin disorders of the scalp
Minoz S Face Wash 50ml,Acne,combined with anti-acne actives of both natural and synthetic origin
Miroir Cream 15gm,Acne,treatment of dry scaly skin disorders of the scalp
Momikem HT Cream 15gm,Acne,combined with anti-acne actives of both natural and synthetic origin
MOMZOT HT Cream 15gm,Acne," gives smooth, soft, supple and fresh feeling to the skin"
Nayzit Gel 15gmNayzit 20mg Capsule 10'SNayzit 10mg Capsule 10'S,Acne,"It helps to reduce swelling. It can help reduce tenderness and pain when applied on a red, swollen pimple."
NEUTIN Capsule 10's,Acne,Mild to moderate acne (spots)
Nexret 0.10% Gel 15gmNexret 0.04% Gel 15gm,Acne,A RET 0.025% is a prescription medicine that is used to reduce fine wrinkles
Nilac Gel 20gmNilac A Gel 20gm,Acne,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple"
Nioclean Gel 20gm,Acne,"It is used to treat acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple"
Nioclean AD Gel 15gm,Acne,treat the most severe form of acne (nodular acne) 
Nioret Nano Gel 15gm,Acne,treat the most severe form of acne (nodular acne) 
NO Scars 1% Facewash 60ml,Acne,treat the most severe form of acne (nodular acne) 
NUPLENE C Gel 15gm,Acne, treat acne vulgaris 
OBRIL Cream 20gm,Acne, treat acne vulgaris 
Ocotret 10mg Tablet 10'SOcotret 20mg Tablet 10'S,Acne, treat mild to moderate acne(spots)
Oraret 10mg Capsule 10'SOraret 20mg Capsule 10'S,Acne,treatment of dry scaly skin disorders of the scalp
